# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_selection eff_final
1.250000e+00 1.722000e-02 1.615976e-02 6.561000e-02 2.716280e-19 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.190716e+14 2.716285e-13 9.329127e-02 3.035319e-15
1.250000e+00 1.514000e-01 1.420782e-01 6.561000e-02 2.185474e-11 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.347836e+07 2.185478e-05 9.661370e-02 2.605113e-07
1.250000e+00 5.848000e-02 5.487936e-02 6.561000e-02 6.372220e-14 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 3.126925e+09 6.372233e-08 9.645950e-02 7.411221e-10
1.250000e+00 4.457000e-02 4.182581e-02 6.561000e-02 1.111441e-14 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.376987e+10 1.111444e-08 9.539865e-02 1.272943e-10
1.250000e+00 5.105000e-02 4.790683e-02 6.561000e-02 2.578736e-14 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 6.502583e+09 2.578741e-08 9.558368e-02 3.191966e-10
1.250000e+00 1.007000e-01 9.449986e-02 6.561000e-02 1.816331e-12 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.857193e+08 1.816335e-06 9.658518e-02 2.243684e-08
1.250000e+00 8.852000e-01 8.306979e-01 6.561000e-02 3.758830e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.179963e+01 3.355510e+03 3.758838e-02 1.049281e-01 3.069925e-03
1.250000e+00 1.321000e-01 1.239666e-01 6.561000e-02 9.349484e-12 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 4.676323e+07 9.349502e-06 9.724581e-02 1.120867e-07
1.250000e+00 3.918000e-01 3.676767e-01 6.561000e-02 5.109562e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180185e+01 1.982983e+05 5.109572e-03 9.764320e-02 7.689584e-05
1.250000e+00 7.727000e-01 7.251246e-01 6.561000e-02 3.878148e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.179981e+01 6.627551e+03 3.878156e-02 1.029109e-01 2.020423e-03
1.250000e+00 1.162000e+00 1.090455e+00 6.561000e-02 1.704983e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180067e+01 8.599924e+02 1.704987e-02 1.103175e-01 3.928070e-03
1.250000e+00 2.000000e+00 1.876859e+00 6.561000e-02 4.135939e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180199e+01 5.659065e+01 4.135947e-04 1.170152e-01 1.843011e-02
1.250000e+00 1.746000e+00 1.623944e+00 7.516000e-02 1.851299e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180186e+01 5.995980e+01 1.851302e-03 1.166373e-01 1.665056e-02
1.250000e+00 1.014000e+00 9.515677e-01 6.561000e-02 2.817382e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.179996e+01 1.700274e+03 2.817388e-02 1.081380e-01 3.740389e-03
