# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length N_events scatt_det
2.122000e-01 2.031000e-02 1.051019e-04 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 1.680481e+02 2.901208e+05 1.051124e+04 4.481006e-02
4.062000e-02 2.154000e-01 2.553224e+00 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.277216e+02 3.287338e-09 2.553479e+08 1.000000e+00
1.403000e+00 1.000000e+00 3.082501e-07 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.392019e+01 1.301941e+00 3.082809e+01 1.000000e+00
9.848000e-01 5.223000e-02 1.886968e-07 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.967970e+01 1.193302e+06 1.887157e+01 9.360860e-02
3.207000e-02 3.070000e-01 1.391922e+00 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.277184e+02 7.053628e-10 1.392061e+08 1.000000e+00
7.776000e-01 1.266000e-02 2.447920e-10 1.000027e-02 1.414182e-02 1.000000e-02 9.999775e-03 3.179927e+01 5.658130e+08 2.448054e-02 8.882733e-02
4.849000e-01 6.615000e-02 1.943592e-04 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.042732e+02 2.130263e+04 1.943786e+04 7.330693e-02
2.388000e-01 2.894000e-02 3.463073e-04 1.000015e-02 1.414164e-02 1.000000e-02 9.999650e-03 2.405800e+02 7.863387e+04 3.463176e+04 4.951703e-02
9.848000e-01 1.701000e-01 8.502092e-05 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 1.654607e+02 3.202675e+03 8.502942e+03 1.273449e-01
5.457000e-01 1.805000e-02 3.251097e-08 1.000024e-02 1.414177e-02 1.000000e-02 9.999744e-03 3.144549e+01 2.304509e+07 3.251256e+00 7.905286e-02
