# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_geometry eff_selection eff_final
1.250000e+00 2.606000e-01 2.445548e-01 6.561000e-02 1.029300e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.144689e+01 9.797601e+03 1.029302e+01 9.039859e-03 9.726299e-02 8.792437e-04
1.250000e+00 1.734000e-01 1.596553e-01 8.609000e-02 7.209053e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.152058e+01 2.189237e+04 7.209068e+00 3.367865e-03 9.858597e-02 3.320242e-04
1.250000e+00 1.321000e-01 1.216290e-01 8.609000e-02 1.512729e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.174488e+01 8.598497e+04 1.512732e+00 7.047477e-04 9.833287e-02 6.929986e-05
1.250000e+00 5.141000e-01 4.824467e-01 6.561000e-02 2.884813e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.065772e+01 3.257154e+02 2.884819e+01 3.887379e-02 9.865577e-02 3.835124e-03
1.250000e+00 5.848000e-02 5.487936e-02 6.561000e-02 1.598568e-09 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180198e+01 2.002090e+07 1.598571e-03 1.196344e-06 9.652258e-02 1.154742e-07
1.250000e+00 3.918000e-01 3.607436e-01 8.609000e-02 6.142776e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 2.918215e+01 3.685992e+02 6.142788e+01 3.882686e-02 1.000682e-01 3.885336e-03
1.250000e+00 2.588000e-02 2.382860e-02 8.609000e-02 5.418667e-11 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 5.032283e+08 5.418678e-05 2.409462e-08 9.636737e-02 2.321935e-09
1.250000e+00 1.722000e-02 1.615976e-02 6.561000e-02 6.910001e-15 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 1.402083e+12 6.910015e-09 5.189837e-12 9.127068e-02 4.736799e-13
1.250000e+00 8.852000e-01 8.150338e-01 8.609000e-02 1.644641e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.067273e+01 6.236196e+00 1.644644e+01 8.289758e-01 1.071505e-01 8.882515e-02
1.250000e+00 4.488000e-01 4.211672e-01 6.561000e-02 3.202199e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.063245e+01 6.429149e+02 3.202205e+01 3.521962e-02 9.789121e-02 3.447691e-03
1.250000e+00 1.722000e-02 1.585504e-02 8.609000e-02 1.700424e-12 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 1.095120e+10 1.700427e-06 7.373175e-10 9.428648e-02 6.951907e-11
1.250000e+00 1.331000e+00 1.249050e+00 6.561000e-02 2.300054e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.160468e+01 2.787623e+00 2.300059e+00 8.582321e-01 1.123518e-01 9.642390e-02
1.250000e+00 3.420000e-01 3.148910e-01 8.609000e-02 6.635188e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 2.911977e+01 7.278612e+02 6.635201e+01 3.611521e-02 9.971950e-02 3.601390e-03
1.250000e+00 5.848000e-02 5.384452e-02 8.609000e-02 1.040902e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180156e+01 5.454215e+06 1.040904e-02 4.913295e-06 9.951519e-02 4.889475e-07
1.250000e+00 7.727000e-01 7.251246e-01 6.561000e-02 1.828398e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.088919e+01 4.240184e+01 1.828402e+01 1.802487e-01 1.012894e-01 1.825729e-02
1.250000e+00 3.396000e-02 3.186907e-02 6.561000e-02 4.345597e-11 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 4.344779e+08 4.345605e-05 3.337059e-08 9.532965e-02 3.181207e-09
1.250000e+00 1.153000e-01 1.061606e-01 8.609000e-02 6.397417e-07 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.177536e+01 1.706826e+05 6.397430e-01 3.016432e-04 9.936749e-02 2.997352e-05
1.250000e+00 6.699000e-02 6.167997e-02 8.609000e-02 2.725420e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180073e+01 2.703558e+06 2.725425e-02 1.134877e-05 1.007156e-01 1.142999e-06
